"analysis","env_tester","source_path","size_bytes","sha256","expected_results_path","checked_date"
"dap","WIH3.2020.PHP02","5.2_HPRC_TIME_CAPSULE/Standard_FPCA/WIH3.2020.PHP02QTL.Outputs.rds","621697757","896C091CBA9F27AF19F5761BFC3686F852B2CAAEC6853422CA4064DB46F81BD8","qtl/dap/output/WIH3.2020.PHP02QTL.Outputs.rds","2026-09-15"
"dap","WIH3.2021.PHP02","5.2_HPRC_TIME_CAPSULE/Standard_FPCA/WIH3.2021.PHP02QTL.Outputs.rds","623495906","E6B43393E9E7CA403A08EB89D2D4F18C925C3761F2C0668AFA5F3CFC1A265DEB","qtl/dap/output/WIH3.2021.PHP02QTL.Outputs.rds","2026-09-15"
"agdd","DEH1.2020.PHK76","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/DEH1.2020.PHK76QTL.Outputs.rds","623398776","A3CE1736D913908428E3CED26F74FE950869DD932440E0310381958D0370C0A1","qtl/agdd/output/DEH1.2020.PHK76QTL.Outputs.rds","2026-09-15"
"agdd","DEH1.2020.PHP02","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/DEH1.2020.PHP02QTL.Outputs.rds","624861873","045402683BC46ED62C07C323F5FD261F3E3600FB69FF3718EF8430E2D9C5B7F2","qtl/agdd/output/DEH1.2020.PHP02QTL.Outputs.rds","2026-09-15"
"agdd","DEH1.2020.PHZ51","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/DEH1.2020.PHZ51QTL.Outputs.rds","624894216","A66D1D9F469554C47558DB5A8A8E9CC2F097298CE6A6097206A25653D3057F4B","qtl/agdd/output/DEH1.2020.PHZ51QTL.Outputs.rds","2026-09-15"
"agdd","IAH4.2021.PHK76","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/IAH4.2021.PHK76QTL.Outputs.rds","624867116","CFFEEBC8A7130635AAB5CC9D6CB71C2FE04BB2327D6D8C8B0FC8F0A9A36BC761","qtl/agdd/output/IAH4.2021.PHK76QTL.Outputs.rds","2026-09-15"
"agdd","IAH4.2021.PHP02","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/IAH4.2021.PHP02QTL.Outputs.rds","624859641","A2ACDA79D892E6EFDD57EADE6C23BD283791B60C09AB8E8711453E5F248C479A","qtl/agdd/output/IAH4.2021.PHP02QTL.Outputs.rds","2026-09-15"
"agdd","IAH4.2021.PHZ51","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/IAH4.2021.PHZ51QTL.Outputs.rds","624861977","276E48EA4BCC6387FFA227E36659D564AAC0260B8F87C20CBB8C84D2322A2763","qtl/agdd/output/IAH4.2021.PHZ51QTL.Outputs.rds","2026-09-15"
"agdd","MIH1.2020.PHP02","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/MIH1.2020.PHP02QTL.Outputs.rds","623064217","22668D05DC578C811B0DEA000F5E384AA5CC9FC0657D1018575ACF35D8365E75","qtl/agdd/output/MIH1.2020.PHP02QTL.Outputs.rds","2026-09-15"
"agdd","MNH1.2020.PHP02","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/MNH1.2020.PHP02QTL.Outputs.rds","624857224","65574A7271DC56C89ED7DEA95528217C280066357AACD6BD00BD93164CB1B035","qtl/agdd/output/MNH1.2020.PHP02QTL.Outputs.rds","2026-09-15"
"agdd","MNH1.2021.PHP02","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/MNH1.2021.PHP02QTL.Outputs.rds","624858756","363614113AC81C191C87A464BA217BE75BC1C59A9CB9B15C02DF612B40A713DE","qtl/agdd/output/MNH1.2021.PHP02QTL.Outputs.rds","2026-09-15"
"agdd","MOH1.2020.PHK76","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/MOH1.2020.PHK76QTL.Outputs.rds","620327317","ED27A2F851E36C4FEFDABFE54EFD2647D2639EFAD2DCFEA021231F3198C657D4","qtl/agdd/output/MOH1.2020.PHK76QTL.Outputs.rds","2026-09-15"
"agdd","MOH1.2020.PHP02","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/MOH1.2020.PHP02QTL.Outputs.rds","624868200","F3C50A10B03250FDA18143FCF7A2EBBD9D99D1FCE1501A9A359AEFF281B9B543","qtl/agdd/output/MOH1.2020.PHP02QTL.Outputs.rds","2026-09-15"
"agdd","MOH1.2020.PHZ51","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/MOH1.2020.PHZ51QTL.Outputs.rds","624897709","ADF8A41EAD6EACFE126609CD9D18E849EA011AE805B2ED4BB2BC28E08E98AD31","qtl/agdd/output/MOH1.2020.PHZ51QTL.Outputs.rds","2026-09-15"
"agdd","NEH1.2021.PHZ51","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/NEH1.2021.PHZ51QTL.Outputs.rds","387255649","166B4BD3CD46266BD46E97988DC481F30C5023F5E9AF0F0064AD9C21258E38C4","qtl/agdd/output/NEH1.2021.PHZ51QTL.Outputs.rds","2026-09-15"
"agdd","TXH1.2020.PHZ51","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/TXH1.2020.PHZ51QTL.Outputs.rds","387247567","C94C460BE877DA6E8A99D7324E2C49C454AD4F86897BBAC677D19A1DDAB599F2","qtl/agdd/output/TXH1.2020.PHZ51QTL.Outputs.rds","2026-09-15"
"agdd","TXH1.2021.PHZ51","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/TXH1.2021.PHZ51QTL.Outputs.rds","387250300","A921B3514F447B4EBB1DB96A32D3095B150452070140F78F59E212833BDCDF5A","qtl/agdd/output/TXH1.2021.PHZ51QTL.Outputs.rds","2026-09-15"
"agdd","TXH2.2020.PHZ51","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/TXH2.2020.PHZ51QTL.Outputs.rds","387257640","182BBC3815E3AD1DB7D5CD4A6ADA1B45B3DA375224E21A9C163E4A96169437B2","qtl/agdd/output/TXH2.2020.PHZ51QTL.Outputs.rds","2026-09-15"
"agdd","TXH2.2021.PHZ51","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/TXH2.2021.PHZ51QTL.Outputs.rds","387252105","6C54B8F5C879F15F27B74423D685048284ED16C23B96FCA292E7BBB5035DF9FF","qtl/agdd/output/TXH2.2021.PHZ51QTL.Outputs.rds","2026-09-15"
"agdd","TXH3.2020.PHZ51","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/TXH3.2020.PHZ51QTL.Outputs.rds","387255895","082C3EF18E55C4F9520741C71C908595165334381E2A97424C3E7DCF42D16398","qtl/agdd/output/TXH3.2020.PHZ51QTL.Outputs.rds","2026-09-15"
"agdd","TXH3.2021.PHZ51","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/TXH3.2021.PHZ51QTL.Outputs.rds","387261208","12E8262CE3886A50BC2DE6C83136D91FAA56B563F2E7ED10BA955A8DE5F0B6BC","qtl/agdd/output/TXH3.2021.PHZ51QTL.Outputs.rds","2026-09-15"
"agdd","WIH1.2020.PHP02","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/WIH1.2020.PHP02QTL.Outputs.rds","624857564","2C23537E5941146ADBA413718D57926BD83990C74F7F98403AB996E5DABE73D3","qtl/agdd/output/WIH1.2020.PHP02QTL.Outputs.rds","2026-09-15"
"agdd","WIH1.2021.PHP02","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/WIH1.2021.PHP02QTL.Outputs.rds","624862278","FBD4CBD9EA42BD303778EEED652CD79A7554E9CB23B1B2707BD3927BD2B3C83F","qtl/agdd/output/WIH1.2021.PHP02QTL.Outputs.rds","2026-09-15"
"agdd","WIH2.2020.PHK76","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/WIH2.2020.PHK76QTL.Outputs.rds","621631342","0AAAFB818126A9DEBCA93197B84C4532B580270E8E2631B7D71A2933B2EE6ACD","qtl/agdd/output/WIH2.2020.PHK76QTL.Outputs.rds","2026-09-15"
"agdd","WIH2.2020.PHP02","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/WIH2.2020.PHP02QTL.Outputs.rds","623054854","B90EB94885B724A0AF5243E8CDB36C5989DF991D36BDB7B45F65DFE049C63671","qtl/agdd/output/WIH2.2020.PHP02QTL.Outputs.rds","2026-09-15"
"agdd","WIH2.2020.PHZ51","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/WIH2.2020.PHZ51QTL.Outputs.rds","624896608","C16798530CD6447D742B4C6906468BE62194C744974AF90784234F056DBF12CB","qtl/agdd/output/WIH2.2020.PHZ51QTL.Outputs.rds","2026-09-15"
"agdd","WIH2.2021.PHK76","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/WIH2.2021.PHK76QTL.Outputs.rds","604860114","5DFD5431827CB0A5C9E1CE234C4FE53EF5D6F4EA65E3318620F4DD1B5DA93835","qtl/agdd/output/WIH2.2021.PHK76QTL.Outputs.rds","2026-09-15"
"agdd","WIH2.2021.PHP02","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/WIH2.2021.PHP02QTL.Outputs.rds","623515966","934E64FD4080231B5F9850E6996A3B0B5C8419CAF9C02C4D07662E3702F5B8C1","qtl/agdd/output/WIH2.2021.PHP02QTL.Outputs.rds","2026-09-15"
"agdd","WIH2.2021.PHZ51","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/WIH2.2021.PHZ51QTL.Outputs.rds","624856468","8B855D31F8BCB0A5C6B8D33B3870A3A87660A5A46F59B2F972BE554DA32AD97F","qtl/agdd/output/WIH2.2021.PHZ51QTL.Outputs.rds","2026-09-15"
"agdd","WIH3.2020.PHP02","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/WIH3.2020.PHP02QTL.Outputs.rds","623069698","3386AAD64994CD838C0323D805DFF8CEBA06A11D35AF904886B68BD050423998","qtl/agdd/output/WIH3.2020.PHP02QTL.Outputs.rds","2026-09-15"
"agdd","WIH3.2021.PHP02","5.2_HPRC_TIME_CAPSULE/AGDD_FPCA/WIH3.2021.PHP02QTL.Outputs.rds","624862002","4E298DEC3A27CD9528F3C6AE4773703E40D75B9963329F54854DC45CDA54AFB1","qtl/agdd/output/WIH3.2021.PHP02QTL.Outputs.rds","2026-09-15"
