"Domain","Vegetation.Index","FPC","FPC_ID","N","N_complete","Cor","Status"
"DAP","GCC","FPC4","FPC4_GCC",10109,10109,-0.00594455948562748,"ok"
"DAP","GCC","FPC5","FPC5_GCC",10109,10109,0.0533268280295374,"ok"
"DAP","GLI","FPC1","FPC1_GLI",10109,10109,0.551804790255992,"ok"
"DAP","GLI","FPC2","FPC2_GLI",10109,10109,0.465074172856218,"ok"
"DAP","GLI","FPC3","FPC3_GLI",10109,10109,0.118080117402998,"ok"
"DAP","GLI","FPC4","FPC4_GLI",10109,10109,-0.0164980853662836,"ok"
"DAP","GLI","FPC5","FPC5_GLI",10109,10109,0.0231076810553308,"ok"
"DAP","GLI_new","FPC1","FPC1_GLI_new",10109,10109,0.551804801163426,"ok"
"DAP","GLI_new","FPC2","FPC2_GLI_new",10109,10109,0.46507416567867,"ok"
"DAP","GLI_new","FPC3","FPC3_GLI_new",10109,10109,0.118080063279158,"ok"
"DAP","GLI_new","FPC4","FPC4_GLI_new",10109,10109,-0.0164980878361171,"ok"
"DAP","GLI_new","FPC5","FPC5_GLI_new",10109,10109,0.023107733809574,"ok"
"DAP","GdivB","FPC1","FPC1_GdivB",10109,10109,0.331902874084439,"ok"
"DAP","GdivB","FPC2","FPC2_GdivB",10109,10109,0.177540081569909,"ok"
"DAP","GdivB","FPC3","FPC3_GdivB",10109,10109,0.216890066321864,"ok"
"DAP","GdivB","FPC4","FPC4_GdivB",10109,10109,0.318647546664088,"ok"
"DAP","GdivB","FPC5","FPC5_GdivB",10109,10109,-0.135729725417407,"ok"
"DAP","GdivR","FPC1","FPC1_GdivR",10109,10109,0.555447894495696,"ok"
"DAP","GdivR","FPC2","FPC2_GdivR",10109,10109,-0.235770671062481,"ok"
"DAP","GdivR","FPC3","FPC3_GdivR",10109,10109,-0.463663590422977,"ok"
"DAP","GdivR","FPC4","FPC4_GdivR",10109,10109,0.032114522591093,"ok"
"DAP","GdivR","FPC5","FPC5_GdivR",10109,10109,0.265703713693874,"ok"
"DAP","GminusB","FPC1","FPC1_GminusB",10109,10109,-0.444071609459445,"ok"
"DAP","GminusB","FPC2","FPC2_GminusB",10109,10109,-0.322272515113838,"ok"
"DAP","GminusB","FPC3","FPC3_GminusB",10109,10109,-0.225349363217661,"ok"
"DAP","GminusB","FPC4","FPC4_GminusB",10109,10109,0.113722771354034,"ok"
"DAP","GminusB","FPC5","FPC5_GminusB",10109,10109,0.266830835248644,"ok"
"DAP","GminusR","FPC1","FPC1_GminusR",10109,10109,-0.192576533262205,"ok"
"DAP","GminusR","FPC2","FPC2_GminusR",10109,10109,0.0520144079659401,"ok"
"DAP","GminusR","FPC3","FPC3_GminusR",10109,10109,-0.250815958467273,"ok"
"DAP","GminusR","FPC4","FPC4_GminusR",10109,10109,0.196635528890479,"ok"
"DAP","GminusR","FPC5","FPC5_GminusR",10109,10109,0.0513514034936364,"ok"
"DAP","MExG","FPC1","FPC1_MExG",10109,10109,-0.463115525152955,"ok"
"DAP","MExG","FPC2","FPC2_MExG",10109,10109,-0.212256375002733,"ok"
"DAP","MExG","FPC3","FPC3_MExG",10109,10109,-0.235348301563044,"ok"
"DAP","MExG","FPC4","FPC4_MExG",10109,10109,-0.290058517937459,"ok"
"DAP","MExG","FPC5","FPC5_MExG",10109,10109,-0.297128633942774,"ok"
"DAP","MGVRI","FPC1","FPC1_MGVRI",10109,10109,0.545593759650127,"ok"
"DAP","MGVRI","FPC2","FPC2_MGVRI",10109,10109,0.267774900237336,"ok"
"DAP","MGVRI","FPC3","FPC3_MGVRI",10109,10109,-0.0627861655366132,"ok"
"DAP","MGVRI","FPC4","FPC4_MGVRI",10109,10109,0.340997476516161,"ok"
"DAP","MGVRI","FPC5","FPC5_MGVRI",10109,10109,0.390025431957969,"ok"
"DAP","MRCC","FPC1","FPC1_MRCC",10109,10109,-0.487338784416951,"ok"
"DAP","MRCC","FPC2","FPC2_MRCC",10109,10109,-0.492282838026955,"ok"
"DAP","MRCC","FPC3","FPC3_MRCC",10109,10109,0.0678313577822141,"ok"
"DAP","MRCC","FPC4","FPC4_MRCC",10109,10109,-0.0895621421389617,"ok"
"DAP","MRCC","FPC5","FPC5_MRCC",10109,10109,-0.0433914547210058,"ok"
"DAP","MSRGR","FPC1","FPC1_MSRGR",10109,10109,0.553865706723888,"ok"
"DAP","MSRGR","FPC2","FPC2_MSRGR",10109,10109,-0.246755247423282,"ok"
"DAP","MSRGR","FPC3","FPC3_MSRGR",10109,10109,-0.440755099347432,"ok"
"DAP","MSRGR","FPC4","FPC4_MSRGR",10109,10109,0.0764708910008519,"ok"
"DAP","MSRGR","FPC5","FPC5_MSRGR",10109,10109,0.346488826106358,"ok"
"DAP","NDI","FPC1","FPC1_NDI",10109,10109,0.55026188917215,"ok"
"DAP","NDI","FPC2","FPC2_NDI",10109,10109,-0.244693712836214,"ok"
"DAP","NDI","FPC3","FPC3_NDI",10109,10109,-0.261518341375728,"ok"
"DAP","NDI","FPC4","FPC4_NDI",10109,10109,-0.211160016298627,"ok"
"DAP","NDI","FPC5","FPC5_NDI",10109,10109,0.383437250517166,"ok"
"DAP","NDRBI","FPC1","FPC1_NDRBI",10109,10109,-0.264011135001264,"ok"
"DAP","NDRBI","FPC2","FPC2_NDRBI",10109,10109,0.111507271335298,"ok"
"DAP","NDRBI","FPC3","FPC3_NDRBI",10109,10109,0.318779760356153,"ok"
"DAP","NDRBI","FPC4","FPC4_NDRBI",10109,10109,0.300420642525441,"ok"
"DAP","NDRBI","FPC5","FPC5_NDRBI",10109,10109,0.261130091922593,"ok"
"DAP","NGBDI","FPC1","FPC1_NGBDI",10109,10109,0.48311989567634,"ok"
"DAP","NGBDI","FPC2","FPC2_NGBDI",10109,10109,0.096735650978853,"ok"
"DAP","NGBDI","FPC3","FPC3_NGBDI",10109,10109,0.222097854900917,"ok"
"DAP","NGBDI","FPC4","FPC4_NGBDI",10109,10109,-0.0725508155720331,"ok"
"DAP","NGBDI","FPC5","FPC5_NGBDI",10109,10109,0.255011061516266,"ok"
"DAP","NGRDI","FPC1","FPC1_NGRDI",10109,10109,0.550261871033051,"ok"
"DAP","NGRDI","FPC2","FPC2_NGRDI",10109,10109,0.244693701879459,"ok"
"DAP","NGRDI","FPC3","FPC3_NGRDI",10109,10109,0.261518238451077,"ok"
"DAP","NGRDI","FPC4","FPC4_NGRDI",10109,10109,0.211160070504389,"ok"
"DAP","NGRDI","FPC5","FPC5_NGRDI",10109,10109,0.383437228009999,"ok"
"DAP","NGRDI_new","FPC1","FPC1_NGRDI_new",10109,10109,0.550261873001598,"ok"
"DAP","NGRDI_new","FPC2","FPC2_NGRDI_new",10109,10109,0.244693717119347,"ok"
"DAP","NGRDI_new","FPC3","FPC3_NGRDI_new",10109,10109,0.261518220861049,"ok"
"DAP","NGRDI_new","FPC4","FPC4_NGRDI_new",10109,10109,0.211160071361385,"ok"
"DAP","NGRDI_new","FPC5","FPC5_NGRDI_new",10109,10109,0.383437222438788,"ok"
"DAP","NRMBI","FPC1","FPC1_NRMBI",10109,10109,-0.303830979933536,"ok"
"DAP","NRMBI","FPC2","FPC2_NRMBI",10109,10109,0.210920683821335,"ok"
"DAP","NRMBI","FPC3","FPC3_NRMBI",10109,10109,0.222917556807018,"ok"
"DAP","NRMBI","FPC4","FPC4_NRMBI",10109,10109,0.0887500063154154,"ok"
"DAP","NRMBI","FPC5","FPC5_NRMBI",10109,10109,0.147892102405785,"ok"
"DAP","RCC","FPC1","FPC1_RCC",10109,10109,-0.440751365589705,"ok"
"DAP","RCC","FPC2","FPC2_RCC",10109,10109,0.139362190926845,"ok"
"DAP","RCC","FPC3","FPC3_RCC",10109,10109,-0.00987231505346534,"ok"
"DAP","RCC","FPC4","FPC4_RCC",10109,10109,-0.14288457042315,"ok"
"DAP","RCC","FPC5","FPC5_RCC",10109,10109,0.206104844297864,"ok"
"DAP","RGBVI","FPC1","FPC1_RGBVI",10109,10109,0.525098420430623,"ok"
"DAP","RGBVI","FPC2","FPC2_RGBVI",10109,10109,0.39116267491554,"ok"
"DAP","RGBVI","FPC3","FPC3_RGBVI",10109,10109,0.0419201642214921,"ok"
"DAP","RGBVI","FPC4","FPC4_RGBVI",10109,10109,-0.00678246771200081,"ok"
"DAP","RGBVI","FPC5","FPC5_RGBVI",10109,10109,-0.0289825697257365,"ok"
"DAP","RdivB","FPC1","FPC1_RdivB",10109,10109,-0.237823898810468,"ok"
"DAP","RdivB","FPC2","FPC2_RdivB",10109,10109,0.296815543576515,"ok"
"DAP","RdivB","FPC3","FPC3_RdivB",10109,10109,0.115180392235999,"ok"
"DAP","RdivB","FPC4","FPC4_RdivB",10109,10109,0.300023618560006,"ok"
"DAP","RdivB","FPC5","FPC5_RdivB",10109,10109,0.285406155194287,"ok"
"DAP","RminusB","FPC1","FPC1_RminusB",10109,10109,-0.36292964503187,"ok"
"DAP","RminusB","FPC2","FPC2_RminusB",10109,10109,0.158780793453088,"ok"
"DAP","RminusB","FPC3","FPC3_RminusB",10109,10109,-0.00191005686803406,"ok"
"DAP","RminusB","FPC4","FPC4_RminusB",10109,10109,-0.0790689082414845,"ok"
"DAP","RminusB","FPC5","FPC5_RminusB",10109,10109,0.152363158831054,"ok"
"DAP","TGI","FPC1","FPC1_TGI",10109,10109,-0.522502509162733,"ok"
"DAP","TGI","FPC2","FPC2_TGI",10109,10109,-0.345124947965922,"ok"
"DAP","TGI","FPC3","FPC3_TGI",10109,10109,0.139228859310704,"ok"
"DAP","TGI","FPC4","FPC4_TGI",10109,10109,-0.194240595688164,"ok"
"DAP","TGI","FPC5","FPC5_TGI",10109,10109,-0.195642579835796,"ok"
"DAP","TNDGR","FPC1","FPC1_TNDGR",10109,10109,0.549303933082203,"ok"
"DAP","TNDGR","FPC2","FPC2_TNDGR",10109,10109,-0.233738628224662,"ok"
"DAP","TNDGR","FPC3","FPC3_TNDGR",10109,10109,0.0201926255930316,"ok"
"DAP","TNDGR","FPC4","FPC4_TNDGR",10109,10109,-0.300571244942971,"ok"
"DAP","TNDGR","FPC5","FPC5_TNDGR",10109,10109,0.385460916755225,"ok"
"DAP","VARI","FPC1","FPC1_VARI",10109,10109,0.545848485441489,"ok"
"DAP","VARI","FPC2","FPC2_VARI",10109,10109,0.217298268877752,"ok"
"DAP","VARI","FPC3","FPC3_VARI",10109,10109,-0.00107434774942981,"ok"
"DAP","VARI","FPC4","FPC4_VARI",10109,10109,0.295157317005584,"ok"
"DAP","VARI","FPC5","FPC5_VARI",10109,10109,0.369561318736611,"ok"
"DAP","VEG","FPC1","FPC1_VEG",10109,10109,0.560450655112672,"ok"
"DAP","VEG","FPC2","FPC2_VEG",10109,10109,0.50152955884595,"ok"
"DAP","VEG","FPC3","FPC3_VEG",10109,10109,0.300378568883053,"ok"
"DAP","VEG","FPC4","FPC4_VEG",10109,10109,-0.138991072546037,"ok"
"DAP","VEG","FPC5","FPC5_VEG",10109,10109,0.024487455767548,"ok"
"AGDD","BCC","FPC1","FPC1_BCC",10109,10109,-0.0279605252373571,"ok"
"AGDD","BCC","FPC2","FPC2_BCC",10109,10109,0.0291177140437441,"ok"
"AGDD","BCC","FPC3","FPC3_BCC",10109,10109,-0.23879370521135,"ok"
"AGDD","BCC","FPC4","FPC4_BCC",10109,10109,0.338922516544199,"ok"
"AGDD","BCC","FPC5","FPC5_BCC",10109,10109,0.171072146644037,"ok"
"AGDD","BCC","FPC6","FPC6_BCC",10109,10109,-0.34250671728877,"ok"
"AGDD","BCC","FPC7","FPC7_BCC",10109,10109,0.147584979104076,"ok"
"AGDD","BGI","FPC1","FPC1_BGI",10109,10109,-0.0411332733993409,"ok"
"AGDD","BGI","FPC2","FPC2_BGI",10109,10109,-0.120460048821348,"ok"
"AGDD","BGI","FPC3","FPC3_BGI",10109,10109,-0.136616275963378,"ok"
"AGDD","BGI","FPC4","FPC4_BGI",10109,10109,0.0169078117644181,"ok"
"AGDD","BGI","FPC5","FPC5_BGI",10109,10109,0.0821444012437962,"ok"
"AGDD","BGI","FPC6","FPC6_BGI",10109,10109,-0.183188525132021,"ok"
"AGDD","BGI","FPC7","FPC7_BGI",10109,10109,-0.0652025676796718,"ok"
"AGDD","BGI_new","FPC1","FPC1_BGI_new",10109,10109,-0.0411332835581867,"ok"
"AGDD","BGI_new","FPC2","FPC2_BGI_new",10109,10109,-0.120460037424322,"ok"
"AGDD","BGI_new","FPC3","FPC3_BGI_new",10109,10109,-0.136616283716226,"ok"
"AGDD","BGI_new","FPC4","FPC4_BGI_new",10109,10109,0.0169079282612322,"ok"
