"Domain","Vegetation.Index","FPC","FPC_ID","Env","N","N_complete","Cor","Status"
"DAP","BCC","FPC3","FPC3_BCC","WIH3.2020",415,415,-0.0226045309974085,"ok"
"DAP","BCC","FPC3","FPC3_BCC","WIH3.2021",397,397,0.0581683383371292,"ok"
"DAP","BCC","FPC4","FPC4_BCC","DEH1.2020",1142,1142,0.175239451489622,"ok"
"DAP","BCC","FPC4","FPC4_BCC","IAH4.2021",1128,1128,0.168760278325808,"ok"
"DAP","BCC","FPC4","FPC4_BCC","MIH1.2020",414,414,0.145106494243404,"ok"
"DAP","BCC","FPC4","FPC4_BCC","MNH1.2020",395,395,0.215230336676262,"ok"
"DAP","BCC","FPC4","FPC4_BCC","MNH1.2021",415,415,0.136239937667812,"ok"
"DAP","BCC","FPC4","FPC4_BCC","MOH1.2020",1006,1006,-0.104742668729171,"ok"
"DAP","BCC","FPC4","FPC4_BCC","NEH1.2021",246,246,0.139731532665561,"ok"
"DAP","BCC","FPC4","FPC4_BCC","TXH1.2020",246,246,0.290932011681693,"ok"
"DAP","BCC","FPC4","FPC4_BCC","TXH1.2021",246,246,0.30819276313962,"ok"
"DAP","BCC","FPC4","FPC4_BCC","TXH2.2020",246,246,0.0926700348015117,"ok"
"DAP","BCC","FPC4","FPC4_BCC","TXH2.2021",246,246,-0.203667838720065,"ok"
"DAP","BCC","FPC4","FPC4_BCC","TXH3.2020",266,266,0.0493951015590412,"ok"
"DAP","BCC","FPC4","FPC4_BCC","TXH3.2021",245,245,-0.00647289281295531,"ok"
"DAP","BCC","FPC4","FPC4_BCC","WIH1.2020",394,394,0.126386284191384,"ok"
"DAP","BCC","FPC4","FPC4_BCC","WIH1.2021",398,398,0.32515502379285,"ok"
"DAP","BCC","FPC4","FPC4_BCC","WIH2.2020",1127,1127,0.00712846252844765,"ok"
"DAP","BCC","FPC4","FPC4_BCC","WIH2.2021",1137,1137,0.16765686358967,"ok"
"DAP","BCC","FPC4","FPC4_BCC","WIH3.2020",415,415,-0.00391755355441786,"ok"
"DAP","BCC","FPC4","FPC4_BCC","WIH3.2021",397,397,-0.0926919558262117,"ok"
"DAP","BCC","FPC5","FPC5_BCC","DEH1.2020",1142,1142,-0.194131937462745,"ok"
"DAP","BCC","FPC5","FPC5_BCC","IAH4.2021",1128,1128,-0.10332412375102,"ok"
"DAP","BCC","FPC5","FPC5_BCC","MIH1.2020",414,414,-0.412759608362643,"ok"
"DAP","BCC","FPC5","FPC5_BCC","MNH1.2020",395,395,0.0677971924101943,"ok"
"DAP","BCC","FPC5","FPC5_BCC","MNH1.2021",415,415,0.00290261473676717,"ok"
"DAP","BCC","FPC5","FPC5_BCC","MOH1.2020",1006,1006,0.111756400443837,"ok"
"DAP","BCC","FPC5","FPC5_BCC","NEH1.2021",246,246,-0.000457636539415853,"ok"
"DAP","BCC","FPC5","FPC5_BCC","TXH1.2020",246,246,-0.228085541440684,"ok"
"DAP","BCC","FPC5","FPC5_BCC","TXH1.2021",246,246,-0.273358079667555,"ok"
"DAP","BCC","FPC5","FPC5_BCC","TXH2.2020",246,246,0.00719203615127354,"ok"
"DAP","BCC","FPC5","FPC5_BCC","TXH2.2021",246,246,0.284073494958489,"ok"
"DAP","BCC","FPC5","FPC5_BCC","TXH3.2020",266,266,0.095182376924905,"ok"
"DAP","BCC","FPC5","FPC5_BCC","TXH3.2021",245,245,-0.402256959075271,"ok"
"DAP","BCC","FPC5","FPC5_BCC","WIH1.2020",394,394,-0.186852554567005,"ok"
"DAP","BCC","FPC5","FPC5_BCC","WIH1.2021",398,398,-0.146841488060558,"ok"
"DAP","BCC","FPC5","FPC5_BCC","WIH2.2020",1127,1127,-0.06239014580868,"ok"
"DAP","BCC","FPC5","FPC5_BCC","WIH2.2021",1137,1137,-0.135758602966821,"ok"
"DAP","BCC","FPC5","FPC5_BCC","WIH3.2020",415,415,-0.0541681844784823,"ok"
"DAP","BCC","FPC5","FPC5_BCC","WIH3.2021",397,397,-0.0365975829732414,"ok"
"DAP","BGI","FPC1","FPC1_BGI","DEH1.2020",1142,1142,-0.0602556464045879,"ok"
"DAP","BGI","FPC1","FPC1_BGI","IAH4.2021",1128,1128,0.0355567712466014,"ok"
"DAP","BGI","FPC1","FPC1_BGI","MIH1.2020",414,414,-0.198796095176469,"ok"
"DAP","BGI","FPC1","FPC1_BGI","MNH1.2020",395,395,-0.220967534862739,"ok"
"DAP","BGI","FPC1","FPC1_BGI","MNH1.2021",415,415,-0.111924422158213,"ok"
"DAP","BGI","FPC1","FPC1_BGI","MOH1.2020",1006,1006,0.173105140556252,"ok"
"DAP","BGI","FPC1","FPC1_BGI","NEH1.2021",246,246,-0.062698690824705,"ok"
"DAP","BGI","FPC1","FPC1_BGI","TXH1.2020",246,246,-0.243899514696598,"ok"
"DAP","BGI","FPC1","FPC1_BGI","TXH1.2021",246,246,0.0599807256488597,"ok"
"DAP","BGI","FPC1","FPC1_BGI","TXH2.2020",246,246,-0.190902434459922,"ok"
"DAP","BGI","FPC1","FPC1_BGI","TXH2.2021",246,246,-0.0676253434225283,"ok"
"DAP","BGI","FPC1","FPC1_BGI","TXH3.2020",266,266,-0.199677240654243,"ok"
"DAP","BGI","FPC1","FPC1_BGI","TXH3.2021",245,245,0.00516166702370571,"ok"
"DAP","BGI","FPC1","FPC1_BGI","WIH1.2020",394,394,0.00734631005487559,"ok"
"DAP","BGI","FPC1","FPC1_BGI","WIH1.2021",398,398,-0.107262428248269,"ok"
"DAP","BGI","FPC1","FPC1_BGI","WIH2.2020",1127,1127,-0.0531751492089606,"ok"
"DAP","BGI","FPC1","FPC1_BGI","WIH2.2021",1137,1137,0.0514818721481864,"ok"
"DAP","BGI","FPC1","FPC1_BGI","WIH3.2020",415,415,0.0537483454698389,"ok"
"DAP","BGI","FPC1","FPC1_BGI","WIH3.2021",397,397,-0.0115920899583254,"ok"
"DAP","BGI","FPC2","FPC2_BGI","DEH1.2020",1142,1142,0.236489577617799,"ok"
"DAP","BGI","FPC2","FPC2_BGI","IAH4.2021",1128,1128,-0.0405224946602538,"ok"
"DAP","BGI","FPC2","FPC2_BGI","MIH1.2020",414,414,-0.230880116085586,"ok"
"DAP","BGI","FPC2","FPC2_BGI","MNH1.2020",395,395,-0.450768285625969,"ok"
"DAP","BGI","FPC2","FPC2_BGI","MNH1.2021",415,415,-0.2252818959118,"ok"
"DAP","BGI","FPC2","FPC2_BGI","MOH1.2020",1006,1006,-0.236588076532142,"ok"
"DAP","BGI","FPC2","FPC2_BGI","NEH1.2021",246,246,0.0242472615078699,"ok"
"DAP","BGI","FPC2","FPC2_BGI","TXH1.2020",246,246,-0.27573197476819,"ok"
"DAP","BGI","FPC2","FPC2_BGI","TXH1.2021",246,246,0.111968589478056,"ok"
"DAP","BGI","FPC2","FPC2_BGI","TXH2.2020",246,246,-0.0714850760152611,"ok"
"DAP","BGI","FPC2","FPC2_BGI","TXH2.2021",246,246,0.0695299670747618,"ok"
"DAP","BGI","FPC2","FPC2_BGI","TXH3.2020",266,266,-0.101831124475885,"ok"
"DAP","BGI","FPC2","FPC2_BGI","TXH3.2021",245,245,0.245066396461324,"ok"
"DAP","BGI","FPC2","FPC2_BGI","WIH1.2020",394,394,-0.336164464233582,"ok"
"DAP","BGI","FPC2","FPC2_BGI","WIH1.2021",398,398,-0.372772678693702,"ok"
"DAP","BGI","FPC2","FPC2_BGI","WIH2.2020",1127,1127,-0.0914538727831242,"ok"
"DAP","BGI","FPC2","FPC2_BGI","WIH2.2021",1137,1137,-0.0430704145033545,"ok"
