FPC_ID,Cor,Domain,Environments,Yield_Records
FPC4_n.1,0.0310166980315397,DAP,19,10109
FPC3_ALLSKY_SFC_SW_DNI,0.0435427519212933,DAP,19,10109
FPC1_EVPTRNS,0.0478456818790955,DAP,19,10109
FPC4_ALLSKY_SFC_PAR_TOT,0.0729191204307209,DAP,19,10109
FPC4_ALLSKY_SFC_SW_DWN,0.0729712049623834,DAP,19,10109
FPC3_ETP,0.0850380466102908,DAP,19,10109
FPC4_ALLSKY_SFC_LW_DWN,0.100184634730855,DAP,19,10109
FPC4_ALLSKY_SFC_UVA,0.10059330942025,DAP,19,10109
FPC4_WS2M,0.113642552194185,DAP,19,10109
FPC3_WS2M,0.113901980252226,DAP,19,10109
FPC3_GDD,0.114660343851598,DAP,19,10109
FPC1_n,0.121898038134108,DAP,19,10109
FPC4_EVPTRNS,0.12371444267939,DAP,19,10109
FPC3_ALLSKY_SFC_SW_DWN,0.138195435022122,DAP,19,10109
FPC4_n,0.158621648672544,DAP,19,10109
FPC3_n.1,0.167268070862956,DAP,19,10109
FPC4_T2M_RANGE,0.174615203926525,DAP,19,10109
FPC3_EVPTRNS,0.196472823465726,DAP,19,10109
FPC4_PTR,0.218582386286915,DAP,19,10109
FPC2_EVPTRNS,0.220021258495305,DAP,19,10109
FPC4_RH2M,0.240006117401139,DAP,19,10109
FPC3_n,0.246299597322202,DAP,19,10109
FPC2_ALLSKY_SFC_SW_DNI,0.249958027032822,DAP,19,10109
FPC2_N,0.266474794693983,DAP,19,10109
FPC2_N.1,0.278533496252211,DAP,19,10109
FPC4_P_ETP,0.290881060326181,DAP,19,10109
FPC2_PAR_TEMP,0.293798601596628,DAP,19,10109
FPC1_T2M_RANGE,0.296005257158781,DAP,19,10109
FPC4_SPV,0.300087205408036,DAP,19,10109
FPC2_n,0.342314562182028,DAP,19,10109
FPC1_P_ETP,0.34919372388397,DAP,19,10109
FPC3_PAR_TEMP,0.351323671139824,DAP,19,10109
FPC2_GWETTOP,0.356443557076073,DAP,19,10109
FPC2_PETP,0.359742262400499,DAP,19,10109
FPC1_ALLSKY_SFC_SW_DWN,0.360544760581876,DAP,19,10109
FPC2_GWETROOT,0.388374734869521,DAP,19,10109
FPC3_RTA,0.390223796990113,DAP,19,10109
FPC3_RTA.1,0.390324598756672,DAP,19,10109
FPC1_PETP,0.392806634906108,DAP,19,10109
FPC2_WS2M,0.436023874787019,DAP,19,10109
FPC3_GWETTOP,0.473345622259994,DAP,19,10109
FPC1_n.1,0.488083523817454,DAP,19,10109
FPC3_PTR,0.5022811217739,DAP,19,10109
FPC1_PAR_TEMP,0.506022905562973,DAP,19,10109
FPC1_WS2M,0.52046315249515,DAP,19,10109
FPC1_N.1,0.614354152892194,DAP,19,10109
FPC1_N,0.623265627540565,DAP,19,10109
FPC1_PTR,0.658512579399604,DAP,19,10109
