Domain,CV,Aggregation,Mean,SD
DAP,CV0,Pooled,0.00520075803880182,0.0635521937506952
AGDD,CV0,Pooled,-0.176814423848806,0.0635471112601961
DAP,CV00,Pooled,0.00879485156854125,0.062653944748518
AGDD,CV00,Pooled,-0.165797978339752,0.0627050184114853
DAP,CV0,Equal_Environment,-0.139962630242884,0.02784333918294
AGDD,CV0,Equal_Environment,-0.0703125481556002,0.0280782502559534
DAP,CV00,Equal_Environment,-0.1312287181545,0.0256349041759467
AGDD,CV00,Equal_Environment,-0.0619184361229933,0.0247239308579634
