Method,Model,Time_Domain,Series,CV,Seed,Fold,N,Environments,Correlation,RMSE,Equal_Environment_RMSE
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,5201,19,0.412682939472202,2.5824372164994,2.47475655556943
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,1248,19,0.472775527972385,2.62293954121777,2.5560789365451
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,5156,19,0.438111170598327,2.72898512825619,2.40172467807294
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,1293,19,0.372327925728898,2.87610071642255,2.43990507348837
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,5148,19,0.425758329400567,2.77373017593236,2.4046769484628
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,1301,19,0.423326728830716,2.75694983901543,2.45032223845391
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,5111,19,0.427607519950634,2.75865401401145,2.40741253015985
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,1338,19,0.407683231116933,2.82437079411821,2.44683401733219
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,4,5147,19,0.421124810890819,2.76392817395193,2.42179082093379
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,4,1302,19,0.422892307019188,2.7253215122053,2.40265114432812
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,5,5234,19,0.446598521775717,2.79151792477022,2.41858929097595
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,5,1215,19,0.369845283750647,2.69128467521935,2.39108215272893
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,2,1,5187,19,0.419251747098712,2.75707210912466,2.4140729943343
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,2,1,1262,19,0.425640153623277,2.74591680879703,2.40038499410401
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,2,2,5139,19,0.428232464573665,2.7493049232371,2.4097009239555
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,2,2,1310,19,0.41567273128875,2.82713972194102,2.43980368735332
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,2,3,5172,19,0.447091938314241,2.74821854325334,2.41370570505052
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,2,3,1277,19,0.330898064775755,2.79443414017343,2.39862676234067
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,2,4,5156,19,0.440853849888383,2.77695147323792,2.41370157498767
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,2,4,1293,19,0.371063585720037,2.71351585211655,2.40079490730961
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,2,5,5142,19,0.42206562839183,2.78580220148318,2.40581395741503
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,2,5,1307,19,0.451473276021154,2.78872773417101,2.4729577596502
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,3,1,5154,19,0.412219619278602,2.74157905804753,2.40282909565581
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,3,1,1295,19,0.453538325818958,2.8603969917864,2.48783721457154
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,3,2,5161,19,0.443214995974635,2.77114230439723,2.42515444296054
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,3,2,1288,19,0.363336523588758,2.7846728516696,2.36805760475343
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,3,3,5149,19,0.435397355634283,2.77995954782832,2.42755895754303
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,3,3,1300,19,0.409302273451035,2.65869948193596,2.33734674604392
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,3,4,5121,19,0.428355420057344,2.76169816630457,2.4023944756503
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,3,4,1328,19,0.43300573859811,2.79640685862887,2.45305612863344
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,3,5,5211,19,0.438207809435088,2.76405495645092,2.40233643819677
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,3,5,1238,19,0.392998271361708,2.76623276848411,2.46769157548412
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,4,1,5120,19,0.429870424608795,2.76984681186938,2.42225651331595
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,4,1,1329,19,0.409543249867805,2.76633151303882,2.39257359374701
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,4,2,5102,19,0.425967537931478,2.75069625930779,2.3960177506333
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,4,2,1347,19,0.377838391339337,2.85268854825128,2.53867767092088
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,4,3,5139,19,0.425103635909483,2.76881006793095,2.41842507988881
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,4,3,1310,19,0.421091424956911,2.70210180832285,2.37016435438075
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,4,4,5186,19,0.4326557004042,2.75853594189405,2.40846815923247
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,4,4,1263,19,0.422532134405213,2.80615446751106,2.41996529932336
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,4,5,5249,19,0.442452230462336,2.7686744338096,2.41124667020447
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,4,5,1200,19,0.359425456087813,2.76051132454133,2.42388391501728
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,5,1,5178,19,0.438094130325493,2.77409930079007,2.42702080409063
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,5,1,1271,19,0.384424868481001,2.71173693758945,2.34459485163385
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,5,2,5131,19,0.429502590717712,2.75242044876407,2.39977468554771
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,5,2,1318,19,0.405527419035946,2.75448230775194,2.45090106248525
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,5,3,5112,19,0.438144270424214,2.75927645507899,2.41580602126364
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,5,3,1337,19,0.36983718674347,2.76725354931076,2.39769708184092
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,5,4,5174,19,0.442668282909495,2.74943207783475,2.40414234013887
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,5,4,1275,19,0.362038311606124,2.84488062912108,2.45144511438195
