Method,Model,Time_Domain,Series,CV,Seed,Fold,Environment,N,Correlation,RMSE
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,MNH1.2020,184,0.433005048528992,2.64465643905951
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,MNH1.2020,47,0.656584129978427,2.57798082014376
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,MNH1.2021,188,0.403379928555791,1.76036447893202
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,MNH1.2021,48,0.451236721964088,1.82278012223341
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,MOH1.2020,458,0.224178128979613,2.22415614574612
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,MOH1.2020,117,0.271518638178143,2.32992254186129
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,NEH1.2021,186,0.402325250080436,2.94997969116721
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,NEH1.2021,47,0.141898565445907,2.90119934193177
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,TXH1.2020,186,0.715557333018919,1.26501926295679
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,TXH1.2020,47,0.651698103450162,1.31861389789127
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,TXH1.2021,186,0.0591968827618017,2.94620223622312
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,TXH1.2021,47,0.11439856548486,2.7248519459229
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,TXH2.2020,186,0.537602343024369,1.8688138541515
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,TXH2.2020,47,0.303718988990098,2.05384450754821
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,TXH2.2021,186,0.349356833584833,2.68159521070879
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,TXH2.2021,47,0.209174148355772,3.14026048548859
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,TXH3.2020,188,-0.0939003473681051,1.6818214825563
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,TXH3.2020,48,0.102650994577152,1.48223405676695
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,TXH3.2021,186,0.453970385483905,4.54899945865969
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,TXH3.2021,47,0.510605224831901,4.59328872045546
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,WIH1.2020,184,0.502536410518316,1.7537140647699
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,WIH1.2020,47,0.45819719831771,2.33228904335178
