Method,Model,Time_Domain,Series,CV,Seed,Fold,Environment,N,Correlation,RMSE
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,3,TXH1.2021,184,0.106135563781521,2.90607594988517
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,3,TXH1.2021,49,-0.125201644161527,2.83588737913153
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,3,TXH2.2020,184,0.509353230990991,1.88671172673314
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,3,TXH2.2020,49,0.44615946275721,1.90272621810251
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,3,TXH2.2021,184,0.295124180306822,2.89921551646053
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,3,TXH2.2021,49,0.187051480204496,2.62795798599908
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,3,TXH3.2020,187,-0.0387505433182923,1.64632469338902
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,3,TXH3.2020,49,-0.159519778902183,1.71951242198125
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,3,TXH3.2021,184,0.501899283034516,4.55556700867579
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,3,TXH3.2021,49,0.292914631647633,4.46446487687726
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,3,WIH1.2020,183,0.519022970568881,1.820234913177
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,3,WIH1.2020,48,0.410387631067274,2.09546399977307
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,3,WIH1.2021,184,0.40153507772409,3.48681012063742
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,3,WIH1.2021,49,0.385996010973629,3.57303168907996
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,3,WIH2.2020,520,0.200726873290295,2.77130702755805
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,3,WIH2.2020,133,0.0340013758345634,3.08735265441935
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,3,WIH2.2021,521,0.392456340887876,3.47034564809378
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,3,WIH2.2021,134,0.372195678806166,3.47452989158858
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,3,WIH3.2020,186,0.235629152389511,2.44067897465812
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,3,WIH3.2020,48,-0.148288012599999,2.4853887999445
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,3,WIH3.2021,184,0.590001889527245,1.54736808620041
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,3,WIH3.2021,49,0.29830248400418,1.65321885750504
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,DEH1.2020,522,0.710390928825122,1.92828800045418
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,DEH1.2020,133,0.65791726541874,1.84083693698043
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,IAH4.2021,516,0.523319062781578,1.60764257385104
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,IAH4.2021,129,0.557620375298677,1.51559979884279
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,MIH1.2020,188,0.506302367343973,3.25365317988473
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,MIH1.2020,46,0.467231504894396,3.29447306944805
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,MNH1.2020,186,0.432669562048068,2.61691352394401
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,MNH1.2020,45,0.67510546489384,2.57619529784061
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,MNH1.2021,190,0.432892920656519,1.7923989081531
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,MNH1.2021,46,0.35420381965643,1.79390766652604
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,MOH1.2020,460,0.28314586732579,2.16926699533098
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,MOH1.2020,115,0.155848401649483,2.37086073090537
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,NEH1.2021,188,0.383288762568721,2.99588701620892
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,NEH1.2021,45,0.229032021228337,2.72780889123064
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,TXH1.2020,188,0.690247360089118,1.32466927372687
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,TXH1.2020,45,0.716405147579652,1.18940260624451
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,TXH1.2021,188,0.101634927941851,2.8953393724841
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,TXH1.2021,45,-0.13637398112883,3.04873178428722
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,TXH2.2020,188,0.544842889057388,1.95078238548772
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,TXH2.2020,45,0.338704632448818,1.53811402284751
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,TXH2.2021,188,0.270663203569229,2.86388617168539
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,TXH2.2021,45,0.308216937878837,2.79586826043053
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,TXH3.2020,190,-0.0517182362304583,1.66601847003351
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,TXH3.2020,46,-0.0870316069309236,1.57672841514691
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,TXH3.2021,188,0.464309934274158,4.47710444549457
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,TXH3.2021,45,0.393296197182749,4.61797818472281
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,WIH1.2020,186,0.559807047716166,1.86660009188166
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,WIH1.2020,45,0.31492124178628,1.88279066745403
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,WIH1.2021,188,0.345576290541545,3.54744143919765
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,WIH1.2021,45,0.542870543202441,3.45815501629795
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,WIH2.2020,520,0.150449975573716,2.79857644536799
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,WIH2.2020,133,0.224317665002361,2.97718580655976
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,WIH2.2021,524,0.41968342105227,3.42482985199754
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,WIH2.2021,131,0.322924164988158,3.67975992696972
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,WIH3.2020,188,0.139147553290424,2.45269261158189
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,WIH3.2020,46,0.257838688021312,2.49571883484409
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,WIH3.2021,188,0.569801711593117,1.52119969654191
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,WIH3.2021,45,0.481515125432837,1.70293730679472
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,DEH1.2020,533,0.700038689057007,1.9225295766566
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,DEH1.2020,122,0.698658630738255,1.9577393124121
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,IAH4.2021,522,0.520425039507142,1.56169686515649
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,IAH4.2021,123,0.525996733677124,1.69781733325033
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,MIH1.2020,187,0.533956559069043,3.3305028313524
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,MIH1.2020,47,0.583606553700643,3.09371654590633
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,MNH1.2020,186,0.475697117358579,2.67763451297077
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,MNH1.2020,45,0.58143922369447,2.6325071702495
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,MNH1.2021,188,0.371766728382508,1.74952856231267
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,MNH1.2021,48,0.451256881915987,1.95044327558719
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,MOH1.2020,468,0.222620139833391,2.2383492895418
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,MOH1.2020,107,0.185388940308307,2.29802516714802
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,NEH1.2021,187,0.344322547087912,2.85384975618942
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,NEH1.2021,46,0.340966091665056,3.3985515765642
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,TXH1.2020,187,0.654249244694376,1.27252915610382
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,TXH1.2020,46,0.759803708632612,1.48953157235084
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,TXH1.2021,187,-0.0543485124425296,2.96000903884525
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,TXH1.2021,46,0.414651165054649,2.65479037200283
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,TXH2.2020,187,0.403895594408593,1.82996722733032
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,TXH2.2020,46,0.59624854792446,2.15477005086204
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,TXH2.2021,187,0.244345347137377,2.86333504305239
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,TXH2.2021,46,0.116688548668834,2.95737692883355
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,TXH3.2020,188,-0.0752223884856739,1.57993103881681
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,TXH3.2020,48,0.00309252549200089,1.7396826218676
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,TXH3.2021,187,0.421526881972412,4.51050593003919
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,TXH3.2021,46,0.435243101836945,4.52078035308929
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,WIH1.2020,186,0.472843844864306,1.79019373500925
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,WIH1.2020,45,0.578636411379555,2.2187319005691
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,WIH1.2021,187,0.331622356021404,3.54645286947445
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,WIH1.2021,46,0.453615764320341,3.45395008431843
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,WIH2.2020,530,0.151674363208867,2.83569236210007
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,WIH2.2020,123,0.228778523311531,2.81347573089351
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,WIH2.2021,530,0.409113838441064,3.48418686897085
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,WIH2.2021,125,0.384852070143431,3.37181432986584
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,WIH3.2020,187,0.148783271255876,2.42969741708121
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,WIH3.2020,47,0.11039598311887,2.60639077421331
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,WIH3.2021,187,0.503985413400318,1.58378247481539
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,WIH3.2021,46,0.7127342781798,1.55540469437297
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,DEH1.2020,524,0.68170564493699,1.70237235999946
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,DEH1.2020,131,0.713895307251776,1.9409458772668
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,IAH4.2021,514,0.455147500969225,1.52909246228571
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,IAH4.2021,131,0.421347053883864,1.56574067217657
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,MIH1.2020,188,0.425586364439423,3.31659810241814
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,MIH1.2020,46,0.304433722452299,3.42568779095611
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,MNH1.2020,185,0.565676529851792,1.73392626514631
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,MNH1.2020,46,0.322933865846659,1.46545926732426
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,MNH1.2021,189,0.492235787247423,1.72323159743273
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,MNH1.2021,47,0.127721530222302,1.62416948243489
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,MOH1.2020,462,0.245203968719042,2.00927227404504
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,MOH1.2020,113,0.389417094942938,1.92661197371511
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,NEH1.2021,186,0.449022105411053,2.76195569687493
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,NEH1.2021,47,0.489700498208502,3.15077009871784
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,TXH1.2020,186,0.731341628588096,1.55541371118469
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,TXH1.2020,47,0.74163106535798,1.51893899587589
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,TXH1.2021,186,0.141302470238827,2.06070328370909
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,TXH1.2021,47,0.0493353977063914,1.81391271626782
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,TXH2.2020,186,0.620416354351805,1.5178112373912
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,TXH2.2020,47,0.136238419811488,1.58784867846073
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,TXH2.2021,186,0.261310034692053,2.00389687875021
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,TXH2.2021,47,0.0312230506362318,1.87706772733662
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,TXH3.2020,189,-0.0697772835954961,1.68022000897244
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,TXH3.2020,47,-0.141143280880423,1.99581796013452
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,TXH3.2021,186,0.488257868208632,4.92766332586312
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,TXH3.2021,47,0.567046792119617,4.94969379784949
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,WIH1.2020,185,0.588605049703311,1.79438973148716
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,WIH1.2020,46,0.272703844323127,1.69678311057978
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,WIH1.2021,186,0.390528035918293,3.36101005697277
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,WIH1.2021,47,0.28504345078118,3.55083881796121
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,WIH2.2020,521,-0.0104247254261657,4.96420854871981
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,WIH2.2020,132,-0.102101843970119,5.55164548086358
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,WIH2.2021,523,0.410719345603267,2.97233427262951
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,WIH2.2021,132,0.372111638187067,3.04937180987635
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,WIH3.2020,188,0.25366701811362,2.45222465484532
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,WIH3.2020,46,0.306901079058694,2.22847487998442
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,WIH3.2021,186,0.625823949279651,1.56644441465822
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,WIH3.2021,47,0.357096026420328,1.43841725849709
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,DEH1.2020,523,0.69000009241808,1.74801722900783
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,DEH1.2020,132,0.654655554208718,1.83099552325754
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,IAH4.2021,519,0.443411236623623,1.55839676221817
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,IAH4.2021,126,0.57724219093133,1.33282013494241
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,MIH1.2020,186,0.436604069063685,3.35518173494416
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,MIH1.2020,48,0.511704488018199,3.38821804424212
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,MNH1.2020,184,0.505670264835015,1.73178514996481
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,MNH1.2020,47,0.641513666648879,1.63650078736012
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,MNH1.2021,188,0.439244211418892,1.66012645381226
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,MNH1.2021,48,0.390451629702776,1.82438564368512
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,MOH1.2020,458,0.259641248608595,1.97636004897353
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,MOH1.2020,117,0.31537610101988,2.07577828170858
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,NEH1.2021,186,0.500191956224924,2.83163980447309
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,NEH1.2021,47,0.261223245316251,2.83389957741308
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,TXH1.2020,186,0.734359127503994,1.54434345441908
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,TXH1.2020,47,0.682507843043397,1.54503006354321
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,TXH1.2021,186,0.121320686513112,2.03199034357927
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,TXH1.2021,47,0.174491980162592,1.87398668176362
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,TXH2.2020,186,0.565106842091445,1.50213242494457
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,TXH2.2020,47,0.311673735713835,1.77620158903491
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,TXH2.2021,186,0.26297109318518,1.8575863082503
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,TXH2.2021,47,0.176239477746033,2.3262817701856
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,TXH3.2020,188,-0.0756640655053468,1.76621486250506
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,TXH3.2020,48,0.0218426720995994,1.47022543017654
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,TXH3.2021,186,0.504238775700259,4.94087511463751
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,TXH3.2021,47,0.467774782698651,5.01402812537517
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,WIH1.2020,184,0.538028215014635,1.67630452878643
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,WIH1.2020,47,0.495047034480346,2.22823036341877
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,WIH1.2021,186,0.40523381242439,3.38570518006806
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,WIH1.2021,47,0.266911277314896,3.24297020862512
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,WIH2.2020,520,-0.0204644622532336,5.16604989479444
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,WIH2.2020,133,-0.0739564749894003,5.01689107872103
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,WIH2.2021,524,0.385495407408328,3.05515054910212
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,WIH2.2021,131,0.468748592400139,2.7457388592644
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,WIH3.2020,186,0.249972160833401,2.38567624258456
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,WIH3.2020,48,0.202078120160882,2.60287876417062
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,WIH3.2021,186,0.548949995950288,1.51532593372793
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,WIH3.2021,47,0.621550534267212,1.79106160373633
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,DEH1.2020,520,0.692743114437309,1.76217112330277
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,DEH1.2020,135,0.648029176342271,1.64767838517134
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,IAH4.2021,511,0.456315774947382,1.50896315115353
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,IAH4.2021,134,0.443785845836403,1.69648306405166
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,MIH1.2020,185,0.463824743209775,3.33537155248155
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,MIH1.2020,49,0.322918532989021,3.30728758420546
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,MNH1.2020,184,0.534653173835302,1.6779258045738
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,MNH1.2020,47,0.553166410905768,1.83720336616427
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,MNH1.2021,186,0.436505448022337,1.6964850118984
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,MNH1.2021,50,0.417759191165947,1.86741073964582
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,MOH1.2020,454,0.261889745371374,1.99484343296249
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,MOH1.2020,121,0.298108037399157,1.88094875920733
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,NEH1.2021,185,0.455556147277359,2.8542263289884
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,NEH1.2021,48,0.448276362911309,2.76680612934705
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,TXH1.2020,185,0.705968463478304,1.52583068327012
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,TXH1.2020,48,0.725940998621546,1.78569727606176
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,TXH1.2021,185,0.105679967156398,2.02882143654043
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,TXH1.2021,48,0.173006041258142,1.98460287262955
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,TXH2.2020,185,0.528345604337216,1.5342957643085
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,TXH2.2020,48,0.532070216137908,1.48538033791258
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,TXH2.2021,185,0.182469012299257,2.05311574277304
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,TXH2.2021,48,0.326987568831481,1.81349090001417
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,TXH3.2020,186,-0.0396453243538052,1.67845507867225
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,TXH3.2020,50,-0.139299601881419,1.72068885282589
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,TXH3.2021,185,0.483825284875425,4.93154192867776
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,TXH3.2021,48,0.531062804900366,4.83314845241343
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,WIH1.2020,184,0.5609069723219,1.7913038255792
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,WIH1.2020,47,0.512611973600064,1.71929889968215
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,WIH1.2021,185,0.340402673656876,3.37957625369893
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,WIH1.2021,48,0.43748261256439,3.49961027303595
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,WIH2.2020,519,-0.00813974118441491,5.12277961636834
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,WIH2.2020,134,-0.124493760752054,5.28336515458544
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,WIH2.2021,517,0.443446727288269,2.93344529929361
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,WIH2.2021,138,0.359495915666522,3.26946062146491
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,WIH3.2020,185,0.261487686784534,2.36592209621846
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,WIH3.2020,49,0.270189957522775,2.60964622966492
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,WIH3.2021,185,0.561123729884523,1.56576394227551
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,WIH3.2021,48,0.641979950356562,1.48163843122792
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,4,DEH1.2020,522,0.684788577096998,1.77981540509243
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,4,DEH1.2020,133,0.694358099424852,1.60299805079462
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,4,IAH4.2021,515,0.454391001198394,1.54108085053544
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,4,IAH4.2021,130,0.449290956292539,1.57223699206626
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,4,MIH1.2020,187,0.421048478449833,3.35264055224274
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,4,MIH1.2020,47,0.592029832082388,3.34429024412326
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,4,MNH1.2020,184,0.59094766643492,1.61016646730261
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,4,MNH1.2020,47,0.336274433188727,2.01693877325591
